sample_code,date_collected,site_name,sample_location,cultivar,rootstock,replicate,orchard_block_number,year_planted,collector,pH,lime_index,P_ppm,K_ppm,Ca_ppm,Mg_ppm,NO3-N_ppm,NH4-N_ppm,OM_percent,sand_percent,silt_percent,clay_percent,soil_type,Lesion,Dagger,Ring,Pin,Stunt,Spiral,Tylenchs,Aphelenchs,Dorylaims,Monochs,Bacterial Feeders,Mycorrhizal Fungi,Oligochaetes
C01,5/22/17,Clarksville,Root Zone,Schlect Spur,Emla 26,1,n/a,2007,Poley/Wilson,6.8,,76,277,1105,207,3,5.3,2.8,42.3,39.6,18.1,Loam,0,12,0,4,0,0,60,30,0,10,1240,96,8
C02,5/22/17,Clarksville,Root Zone,Schlect Spur,Emla 26,2,n/a,2007,Poley/Wilson,7.3,,54,207,1251,232,10.4,3.6,2.3,46.3,36.7,17,Loam,0,8,0,2,0,0,36,16,8,12,672,16,0
C03,5/22/17,Clarksville,Root Zone,Schlect Spur,Emla 26,3,n/a,2007,Poley/Wilson,7.6,,50,232,1362,241,10.1,4.5,2.3,46.4,36.6,17,Loam,4,20,0,0,0,0,100,40,10,10,2960,220,12
C04,5/22/17,Clarksville,Root Zone,Schlect Spur,Emla 26,4,n/a,2007,Poley/Wilson,6.2,71,108,326,960,183,12.4,6.6,2.8,35.4,47.6,17,Loam,4,0,0,8,0,0,180,20,10,0,1380,12,8
C05,5/22/17,Clarksville,Root Zone,Schlect Spur,Emla 26,5,n/a,2007,Poley/Wilson,6.2,71,86,321,963,204,10,6.8,2.7,39.4,45.6,15,Loam,36,0,0,0,0,0,60,40,0,0,3040,60,24
C06,5/22/17,Clarksville,Root Zone,Schlect Spur,Emla 26,6,n/a,2007,Poley/Wilson,6.2,71,96,292,860,169,7.7,4.8,2.3,39.4,45.6,15,Loam,60,4,0,0,0,0,240,40,60,0,2100,28,0
C07,5/22/17,Clarksville,Root Zone,Dandee Red,M9,1,n/a,2007,Poley/Wilson,6.6,72,108,252,1042,202,1,3.9,3,43.4,41.6,15,Loam,4,4,0,0,6,0,40,260,0,0,1520,72,0
C08,5/22/17,Clarksville,Root Zone,Dandee Red,M9,2,n/a,2007,Poley/Wilson,6.6,72,84,307,950,192,4.9,4.3,2.3,41.4,43.6,15,Loam,4,4,0,0,0,0,24,8,16,8,928,16,40
C09,5/22/17,Clarksville,Root Zone,Dandee Red,M9,3,n/a,2007,Poley/Wilson,6.4,71,84,327,827,199,9.8,5,2.3,45.4,39.6,15,Loam,12,8,0,14,0,0,20,40,20,10,1140,32,32
C10,5/22/17,Clarksville,Root Zone,Dandee Red,M9,4,n/a,2007,Poley/Wilson,6.3,71,64,299,785,137,0.4,4,2.8,43.4,41.6,15,Loam,0,8,0,0,0,0,40,20,20,0,3560,24,44
