Domain,Phylum,Class,Order,Family,Genus,Species
Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,uncultured bacterium
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter, Ambiguous_taxa
Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3, Ambiguous_taxa, Ambiguous_taxa
Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,uncultured bacterium
Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured, Ambiguous_taxa
Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,uncultured bacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,uncultured bacterium,uncultured bacterium
Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,uncultured,metagenome
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,NA,NA,NA
Bacteria,Acidobacteria,Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
Bacteria,Verrucomicrobia,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,uncultured,NA
Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae, Ambiguous_taxa, Ambiguous_taxa
Bacteria,Chloroflexi,KD4-96,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA
