Kingdom,Phylum,Class,Order,Family,Genus,Species
Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Claussenomyces,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Entomophthoromycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,NA
Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terrea
Fungi,Basidiomycota,Tremellomycetes,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma_podzolica
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Cheilymenia,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Branch06,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_oligospora
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Minimedusa,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_asperellum
Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
